Order_ID,Date,Region,Category,Product,Unit_Price,Quantity,Gross_Sales,Discount,Net_Revenue,Profit,Sales_Channel
ORD-1169,2023-11-19,Asia-Pacific,Software,Cloud Storage Sub,69.97,2,139.94,0.15,118.95,28.99,Direct
ORD-1038,2023-11-19,Europe,Electronics,Laptop Pro,1036.42,3,3109.27,0.0,3109.27,1774.92,Reseller
ORD-1162,2023-11-20,Europe,Office Supplies,Ergonomic Chair,125.36,5,626.8,0.2,501.44,170.28,Direct
ORD-1117,2023-11-20,LATAM,Electronics,Laptop Pro,823.21,3,2469.62,0.0,2469.62,951.16,Reseller
ORD-1155,2023-11-24,Europe,Furniture,Coffee Table,200.2,14,2802.82,0.0,2802.82,1298.99,Direct
ORD-1005,2023-11-25,Europe,Software,Cloud Storage Sub,303.48,10,3034.8,0.0,3034.8,1731.95,Enterprise
ORD-1001,2023-11-27,Asia-Pacific,Software,Cloud Storage Sub,114.29,3,342.87,0.0,342.87,105.96,Enterprise
ORD-1032,2023-12-04,Europe,Office Supplies,Standing Desk,397.89,4,1591.58,0.05,1512.0,762.09,Enterprise
ORD-1066,2023-12-05,Middle East,Electronics,Laptop Pro,398.52,7,2789.64,0.2,2231.71,485.36,Enterprise
ORD-1087,2023-12-06,Middle East,Office Supplies,Mechanical Keyboard,152.02,14,2128.24,0.05,2021.83,1017.21,Direct
ORD-1006,2023-12-06,LATAM,Furniture,Dining Set,251.8,8,2014.39,0.0,2014.39,659.12,Reseller
ORD-1218,2023-12-07,North America,Furniture,Dining Set,188.63,5,943.13,0.2,754.5,305.01,Direct
ORD-1229,2023-12-09,Europe,Software,Design Suite,58.2,7,407.43,0.0,407.43,134.85,Reseller
ORD-1119,2023-12-12,Asia-Pacific,Software,CRM Enterprise,112.6,2,225.2,0.05,213.94,122.64,Direct
ORD-1015,2023-12-12,Europe,Software,Cloud Storage Sub,64.14,7,449.0,0.0,449.0,193.53,Reseller
ORD-1173,2023-12-13,Middle East,Electronics,Smartphone X,697.32,8,5578.59,0.0,5578.59,3083.83,Online Retail
ORD-1248,2023-12-14,Asia-Pacific,Software,CRM Enterprise,381.73,8,3053.85,0.0,3053.85,1060.88,Direct
ORD-1165,2023-12-15,Middle East,Furniture,Modern Sofa,107.65,2,215.31,0.0,215.31,126.81,Online Retail
ORD-1045,2023-12-16,Asia-Pacific,Furniture,Dining Set,70.44,2,140.89,0.0,140.89,70.88,Enterprise
ORD-1161,2023-12-25,LATAM,Electronics,Smartphone X,153.51,13,1995.68,0.0,1995.68,1025.44,Online Retail
ORD-1195,2023-12-25,Europe,Office Supplies,Mechanical Keyboard,332.15,10,3321.47,0.0,3321.47,1888.69,Online Retail
ORD-1110,2023-12-27,Middle East,Office Supplies,Whiteboard Pack,333.55,5,1667.75,0.1,1500.98,501.06,Online Retail
ORD-1069,2023-12-27,North America,Furniture,Modern Sofa,385.63,12,4627.51,0.0,4627.51,1570.67,Enterprise
ORD-1211,2023-12-27,North America,Electronics,Smartwatch Elite,798.0,1,798.0,0.0,798.0,392.8,Enterprise
ORD-1145,2023-12-29,North America,Furniture,Modern Sofa,312.97,13,4068.67,0.0,4068.67,2088.82,Enterprise
ORD-1148,2023-12-31,Asia-Pacific,Office Supplies,Ergonomic Chair,200.21,9,1801.89,0.0,1801.89,687.5,Online Retail
